,p3,p5,p7,p9,p10,p11,p13,p17,p19,p20
c1,3,0,4,2,-2,2,0,3,3,4
c2,1,3,2,3,2,-1,4,-3,0,-3
c4,-1,-1,-1,-1,-1,-3,-4,-2,-1,1
c5,4,-2,3,1,-1,1,1,2,2,2
c6,3,-1,3,4,1,-1,-1,1,2,2
c7,-2,-2,-4,-4,0,-3,1,-1,0,-1
c8,-1,1,-3,0,-2,3,1,-1,0,-1
c9,1,0,0,1,-2,-1,-1,2,1,2
c10,0,0,0,1,-4,-2,0,2,2,3
c11,1,3,2,-1,3,2,3,4,-1,-2
c12,0,1,1,2,-1,0,-2,0,1,1
c13,2,2,1,-3,-3,0,2,-1,1,-1
c14,-3,1,2,0,1,1,0,1,4,3
c15,-4,-2,-3,0,0,-4,-3,-4,-4,-4
c16,1,2,1,2,2,4,2,-1,0,0
c17,0,0,-2,0,1,1,0,0,-1,-2
c18,-1,2,0,-1,0,2,2,1,-1,-2
c20,-2,-1,-1,3,4,-2,0,1,-2,0
c21,2,-1,0,1,0,1,3,0,1,-1
c22,2,0,-1,-2,0,0,-3,3,-2,0
c23,-1,4,0,-2,2,3,1,-3,-2,-3
c24,0,-3,-1,-3,-1,-2,-2,-2,3,0
c26,-3,1,-2,-1,-3,0,-1,-2,0,1
c27,0,-3,1,0,3,-1,-2,0,-3,1
c28,-2,-4,-2,-2,1,0,-1,0,-3,0
