,p1,p2,p4,p6,p8,p12,p14,p15,p16,p18
t1,2,1,0,2,-1,-2,-1,4,-2,0
t2,-1,0,2,-1,3,1,4,-2,1,1
t4,0,0,-1,-1,-2,-2,-2,0,-1,-3
t5,3,3,1,3,-1,-1,1,2,-3,-1
t6,2,-2,1,2,0,-3,1,1,-2,2
t7,-2,0,-2,-2,-2,2,-2,0,4,2
t8,-1,1,-2,0,0,0,1,-2,1,-1
t9,0,-1,0,1,0,-4,-1,3,0,1
t10,1,-1,-1,2,0,0,-3,2,0,0
t12,1,0,1,0,-1,-2,0,1,0,2
t13,-3,-3,-1,-2,-1,2,2,-2,2,-1
t14,3,-1,0,0,1,0,-1,2,-1,0
t15,-4,-4,-4,-4,2,0,-1,1,-4,0
t16,-1,4,4,3,3,4,2,-1,3,3
t17,0,2,2,-1,1,1,0,-1,0,-1
t18,-3,2,3,1,2,3,2,-1,2,3
t19,1,-1,1,1,1,3,3,0,1,1
t20,-2,0,3,4,1,2,0,0,2,4
t22,4,2,-2,-3,-3,-1,0,0,-2,-2
t23,-2,3,0,1,4,1,3,-4,3,1
t24,0,-3,-1,-1,-3,-1,0,3,-3,-4
t25,-1,1,2,0,2,1,1,-3,1,0
t26,2,1,0,-2,0,-1,-2,1,0,-2
t27,1,-2,-3,0,-4,0,-4,-1,-1,-3
t28,0,-2,-3,-3,-2,-3,-3,-3,-1,-2
