,p3,p5,p7,p9,p10,p11,p13,p17,p19,p20
w1,0,-3,0,-2,1,-3,2,2,1,3
w2,1,3,1,3,4,2,1,-1,0,-3
w3,3,3,2,4,2,3,1,4,1,-1
w4,-2,-2,0,0,-2,-2,-4,-1,-1,4
w5,4,0,2,0,-4,-2,-1,-2,3,3
w6,0,0,1,-1,-1,-1,-1,-3,4,-1
w7,1,2,-1,1,1,4,3,3,0,-3
w8,0,-2,-1,3,0,0,0,0,0,1
w9,2,0,2,1,-2,1,0,2,2,1
w10,2,-1,0,0,-1,1,0,2,2,1
w12,-2,0,3,0,3,2,0,1,0,0
w13,2,1,4,1,0,0,2,3,1,-2
w14,1,2,3,2,3,2,-1,0,3,2
w15,-4,-1,-4,-2,0,-4,-3,-4,-4,-4
w16,3,2,0,2,2,3,3,1,1,0
w17,-1,-2,-2,-1,-2,-3,-2,0,-1,0
w18,0,1,1,0,1,0,1,1,-2,-1
w20,-1,0,-3,2,2,-2,1,1,-1,0
w21,-3,1,-2,1,-1,-1,2,-1,-1,-2
w22,0,-1,-1,-3,-1,0,-2,-3,-2,0
w23,-3,4,1,-3,1,1,4,0,-2,-2
w24,1,-1,-2,-1,-3,-1,-3,-2,2,-1
w26,-1,1,-1,-1,-3,1,0,0,0,1
w27,-1,-3,0,-2,0,-1,-2,-1,-3,2
w28,-2,-4,-3,-4,0,0,-1,-2,-3,2
